PartcipantID:6
instanceNumber;c;p;w;v;id;type;sol
46;61;169;43,13,31,5,7,36,16,1;42,4,22,40,16,13,41,48;46;0.00884955752212391;0
47;73;168;33,34,1,37,11,26,26,14;45,24,27,3,48,23,28,46;47;0.00819672131147542;0
48;69;151;46,7,20,36,18,22,6,17;37,33,7,21,34,32,24,50;48;0.00840336134453779;0
49;92;170;19,42,49,5,45,37,25,7;50,25,49,29,6,36,44,37;49;0.0108695652173912;0
50;73;185;24,5,9,25,43,1,26,49;48,42,17,17,3,30,46,32;50;0.00851063829787235;0
51;66;146;28,16,18,26,35,3,5,35;14,34,4,17,33,37,40,8;51;0.0106951871657754;0
52;77;172;31,7,6,30,19,35,14,50;27,30,45,38,12,39,45,1;52;0.00843881856540085;0
53;70;83;30,12,39,20,10,7,20,36;23,11,26,3,24,3,32,11;53;0.00751879699248126;0
54;93;122;22,45,22,25,21,7,47,44;2,46,46,3,1,28,44,26;54;0.0102040816326531;0
55;71;158;9,23,26,30,33,8,5,44;41,7,45,32,2,2,23,13;55;0.103030303030303;0
56;93;157;40,17,4,32,14,50,48,27;34,6,25,42,39,12,10,6;56;0.0977011494252873;0
57;56;206;38,6,47,13,7,9,1,19;43,50,45,27,10,49,10,33;57;0.101123595505618;0
58;79;182;41,17,23,6,50,6,6,48;46,11,50,42,3,22,1,42;58;0.101382488479263;0
59;69;140;14,3,21,36,22,40,13,23;15,20,38,31,22,4,41,19;59;0.1;0
60;57;220;12,33,2,9,25,10,4,48;47,13,22,47,32,1,49,20;60;0.0995670995670995;0
61;77;148;16,10,25,41,12,36,19,33;22,20,27,34,34,17,44,14;61;0.0990566037735848;0
62;82;111;29,13,37,13,13,24,46,30;33,27,3,21,15,13,9,27;62;0.101351351351351;0
63;69;214;25,7,41,1,30,6,33,30;15,43,18,49,24,48,12,35;63;0.0983606557377049;0
64;90;132;1,39,22,24,45,5,46,44;41,11,38,23,24,9,21,22;64;0.1005291005291;0
65;82;130;44,12,2,10,13,40,44,41;46,18,27,3,21,7,20,7;65;0.100671140939597;0
66;75;141;35,13,24,40,2,24,1,48;1,23,8,40,44,6,18,22;66;0.0987654320987654;0
67;81;203;6,4,19,30,5,48,46,45;24,42,36,14,49,24,10,29;67;0.100877192982456;0
68;89;141;35,50,12,27,23,46,5,24;37,14,5,39,46,32,12,5;68;0.1;0
69;86;151;50,25,24,43,21,14,3,36;34,1,21,7,39,23,50,9;69;0.0978260869565217;0
70;119;132;29,36,45,33,39,38,41,37;16,17,13,45,36,24,31,21;70;0.0985221674876847;0
71;78;166;47,13,20,38,2,24,34,17;10,34,14,22,8,49,26,41;71;0.0980392156862745;0
72;95;167;18,38,42,45,32,15,41,6;17,37,21,10,43,17,27,48;72;0.1;0
